brand,category,item_name,price,scraped_at
功夫茶,功夫・必喝,功夫茶王,45,2026-02-01 09:09:03
功夫茶,功夫・必喝,芝士奶蓋翠玉,70,2026-02-01 09:09:03
功夫茶,功夫・必喝,冰淇淋雪藏紅茶,60,2026-02-01 09:09:03
功夫茶,功夫・必喝,輕飲水果茶王,65,2026-02-01 09:09:03
功夫茶,功夫・必喝,寒天柚香飲,65,2026-02-01 09:09:03
功夫茶,功夫・必喝,黑糖波霸鮮奶,65,2026-02-01 09:09:03
功夫茶,功夫・必喝,隱山烏龍,45,2026-02-01 09:09:03
功夫茶,功夫・必喝,芭樂檸檬綠,75,2026-02-01 09:09:03
功夫茶,功夫・好茶,岩葉紅茶,35,2026-02-01 09:09:03
功夫茶,功夫・好茶,翠玉綠茶,35,2026-02-01 09:09:03
功夫茶,功夫・好茶,四季春青茶,35,2026-02-01 09:09:03
功夫茶,功夫・好茶,烏龍鐵觀音,35,2026-02-01 09:09:03
功夫茶,功夫・好茶,手作冬瓜茶,35,2026-02-01 09:09:03
功夫茶,功夫・好茶,蜜桃胭脂紅茶,40,2026-02-01 09:09:03
功夫茶,功夫・好茶,日月潭紅玉,50,2026-02-01 09:09:03
功夫茶,功夫・好茶,阿里山冰茶,50,2026-02-01 09:09:03
功夫茶,功夫・好茶,芝士奶蓋紅茶,70,2026-02-01 09:09:03
功夫茶,功夫・好茶,芝士奶蓋烏龍,70,2026-02-01 09:09:03
功夫茶,功夫・好茶,玫瑰冰茶,55,2026-02-01 09:09:03
功夫茶,功夫・好茶,青梅綠茶,55,2026-02-01 09:09:03
功夫茶,功夫・好茶,多多綠茶,60,2026-02-01 09:09:03
功夫茶,功夫・好茶,胭脂多多,60,2026-02-01 09:09:03
功夫茶,功夫・好茶,芝士奶蓋青茶,0,2026-02-01 09:09:03
功夫茶,功夫・奶茶,38奶霸,60,2026-02-01 09:09:04
功夫茶,功夫・奶茶,黑糖波霸珍珠奶茶,55,2026-02-01 09:09:04
功夫茶,功夫・奶茶,厚奶茶,50,2026-02-01 09:09:04
功夫茶,功夫・奶茶,厚奶綠,50,2026-02-01 09:09:04
功夫茶,功夫・奶茶,烏龍觀音奶茶,50,2026-02-01 09:09:04
功夫茶,功夫・奶茶,英式伯爵奶茶,65,2026-02-01 09:09:04
功夫茶,功夫・奶茶,蜜桃胭脂奶茶,65,2026-02-01 09:09:04
功夫茶,功夫・奶茶,莊園玫瑰奶茶,65,2026-02-01 09:09:04
功夫茶,功夫・奶茶,巧克力奶茶,65,2026-02-01 09:09:04
功夫茶,功夫・鮮果,粉粿柚香綠,65,2026-02-01 09:09:04
功夫茶,功夫・鮮果,鮮榨柳橙綠,65,2026-02-01 09:09:04
功夫茶,功夫・鮮果,黃金芒果綠,60,2026-02-01 09:09:04
功夫茶,功夫・鮮果,百香3Q(珍珠+蒟蒻+椰果),60,2026-02-01 09:09:04
功夫茶,功夫・鮮果,百香羅勒子,55,2026-02-01 09:09:04
功夫茶,功夫・鮮果,冬瓜檸檬,60,2026-02-01 09:09:04
功夫茶,功夫・鮮果,黃金芒果莎莎,60,2026-02-01 09:09:04
功夫茶,功夫・鮮果,泰式榴槤莎莎(冰沙),110,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,紅豆粉粿鮮奶,65,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,岩葉紅茶拿鐵,55,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,烏龍觀音拿鐵,55,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,英式伯爵拿鐵,70,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,蜜桃胭脂拿鐵,70,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,冰淇淋紅茶拿鐵,75,2026-02-01 09:09:04
功夫茶,功夫・鮮奶,巧克力鮮奶,75,2026-02-01 09:09:04
功夫茶,冬日限定,暖薑奶茶,60,2026-02-01 09:09:04
功夫茶,冬日限定,暖薑鮮奶,70,2026-02-01 09:09:04
功夫茶,冬日限定,薑汁桂圓紅棗,60,2026-02-01 09:09:04
大茗本位制茶堂,嚴選茗品,玉露青茶,40,2026-02-01 09:09:18
大茗本位制茶堂,嚴選茗品,桂花青茶,40,2026-02-01 09:09:19
大茗本位制茶堂,嚴選茗品,炭燒青茶,40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,紅玉紅茶,40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,翡翠綠茶,40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,熟成油切蕎麥,40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,熟成油切蕎麥(無),40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,御品冬瓜露,40,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,冷萃東方美人,55,2026-02-01 09:09:19
大茗本位制茶堂,經典純粹,冷萃半熟金萱,55,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,老奶奶的鳳梨田,69,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,蘋果玉露青,69,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,甘蔗玉露青,65,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,冬瓜玉露青,45,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,纖檸冬瓜露,55,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,翡翠多多青,60,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,檸檬桂花青,65,2026-02-01 09:09:19
大茗本位制茶堂,職人手作,柳橙翡翠青,70,2026-02-01 09:09:19
大茗本位制茶堂,雲朵奶蓋,酪梨奶蓋紅玉,69,2026-02-01 09:09:19
大茗本位制茶堂,雲朵奶蓋,酪梨奶蓋綠茶,69,2026-02-01 09:09:19
大茗本位制茶堂,雲朵奶蓋,酪梨奶蓋烏龍,69,2026-02-01 09:09:19
大茗本位制茶堂,雲朵奶蓋,酪梨奶蓋冬瓜露,69,2026-02-01 09:09:19
大茗本位制茶堂,香醇濃郁,玉露奶青,60,2026-02-01 09:09:19
大茗本位制茶堂,香醇濃郁,桂花奶青,60,2026-02-01 09:09:19
大茗本位制茶堂,香醇濃郁,懷舊經典奶茶,55,2026-02-01 09:09:19
大茗本位制茶堂,香醇濃郁,鐵觀音奶茶,55,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,翡翠奶綠,55,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,熟成蕎麥奶茶,60,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,熟成蕎麥奶茶(無),60,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,珍珠奶茶,60,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,烤糖蕎麥凍奶青,69,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,珈琲粉粿蕎麥奶,69,2026-02-01 09:09:20
大茗本位制茶堂,香醇濃郁,珈琲粉粿蕎麥奶(無),69,2026-02-01 09:09:20
大茗本位制茶堂,牧場直送,紅茶拿鐵,70,2026-02-01 09:09:20
大茗本位制茶堂,牧場直送,翡翠拿鐵,70,2026-02-01 09:09:20
大茗本位制茶堂,牧場直送,珍珠粉粿牛奶,75,2026-02-01 09:09:20
大茗本位制茶堂,牧場直送,鐵觀音拿鐵,70,2026-02-01 09:09:20
大茗本位制茶堂,牧場直送,仙草嫩奶,70,2026-02-01 09:09:20
大茗本位制茶堂,季節限定,翡翠莓香,95,2026-02-01 09:09:20
大茗本位制茶堂,季節限定,草莓優格飲,95,2026-02-01 09:09:20
大茗本位制茶堂,期間限定,冬瓜蕎麥老鄉茶,70,2026-02-01 09:09:20
大茗本位制茶堂,期間限定,冬瓜蕎麥老鄉拿鐵,80,2026-02-01 09:09:20
得正,新品上市-緋烏龍系列,緋烏龍,35,2026-02-01 09:09:24
得正,新品上市-緋烏龍系列,馥莓緋烏龍,50,2026-02-01 09:09:24
得正,新品上市-緋烏龍系列,緋烏龍奶茶,50,2026-02-01 09:09:24
得正,新品上市-緋烏龍系列,緋烏龍鮮奶,60,2026-02-01 09:09:24
得正,新品上市-緋烏龍系列,芝士奶蓋緋烏龍,55,2026-02-01 09:09:24
得正,Original TEA,紅茶,25,2026-02-01 09:09:24
得正,Original TEA,綠茶,25,2026-02-01 09:09:24
得正,Original TEA,春烏龍,30,2026-02-01 09:09:24
得正,Original TEA,輕烏龍,30,2026-02-01 09:09:24
得正,Original TEA,焙烏龍,30,2026-02-01 09:09:24
得正,Classic MILK TEA,奶茶,45,2026-02-01 09:09:24
得正,Classic MILK TEA,焙烏龍奶茶,45,2026-02-01 09:09:24
得正,Classic MILK TEA,珍珠奶茶,55,2026-02-01 09:09:24
得正,Classic MILK TEA,黃金珍珠奶綠,55,2026-02-01 09:09:24
得正,Classic MILK TEA,烘吉奶茶,50,2026-02-01 09:09:25
得正,Fresh MILK,紅茶鮮奶,55,2026-02-01 09:09:25
得正,Fresh MILK,輕烏龍鮮奶,55,2026-02-01 09:09:25
得正,Fresh MILK,焙烏龍鮮奶,55,2026-02-01 09:09:25
得正,Fresh MILK,烘吉鮮奶,70,2026-02-01 09:09:25
得正,Double FRUIT,檸檬春烏龍,55,2026-02-01 09:09:25
得正,Double FRUIT,香橙春烏龍,60,2026-02-01 09:09:25
得正,Double FRUIT,甘蔗春烏龍,60,2026-02-01 09:09:25
得正,Double FRUIT,青梅春烏龍,50,2026-02-01 09:09:25
得正,Double FRUIT,優酪春烏龍,55,2026-02-01 09:09:25
得正,Double FRUIT,雙柚金烏龍,55,2026-02-01 09:09:25
得正,Cheese MILK FOAM,芝士奶蓋春烏龍,50,2026-02-01 09:09:25
得正,Cheese MILK FOAM,芝士奶蓋焙烏龍,50,2026-02-01 09:09:25
得正,Cheese MILK FOAM,芝士奶蓋阿華田,55,2026-02-01 09:09:25
得正,Cheese MILK FOAM,芝士奶蓋烘吉茶,55,2026-02-01 09:09:25
